COHORTE;PERÍODO ACADÉMICO CURSA;SEDE;CAMPUS;CARRERA;ÁREA;MODALIDAD;TIPO PROYECTOEDUCATIVO;NRO ALUMNOS
2016 - 2017;2021 - 2022;MATRIZ CUENCA;EL VECINO;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;7
2016 - 2017;2021 - 2022;QUITO;EL GIRÓN;EDUCACIÓN;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;1
2016 - 2017;2021 - 2022;QUITO;EL GIRÓN;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;8
2016 - 2017;2021 - 2022;QUITO;EL GIRÓN;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;11
2016 - 2017;2021 - 2022;QUITO;SUR;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;36
2016 - 2017;2021 - 2022;QUITO;SUR;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;29
2016 - 2017;2021 - 2022;QUITO;SUR;INGENIERÍA CIVIL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;61
2017 - 2017;2017 - 2017;GUAYAQUIL;CENTENARIO;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;320
2017 - 2017;2017 - 2017;GUAYAQUIL;CENTENARIO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;191
2017 - 2017;2017 - 2017;GUAYAQUIL;CENTENARIO;COMUNICACIÓN;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;97
2017 - 2017;2017 - 2017;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;190
2017 - 2017;2017 - 2017;GUAYAQUIL;CENTENARIO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;107
2017 - 2017;2017 - 2017;GUAYAQUIL;CENTENARIO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;65
2017 - 2017;2017 - 2017;GUAYAQUIL;CENTENARIO;INGENIERÍA AUTOMOTRIZ;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;130
2017 - 2017;2017 - 2017;GUAYAQUIL;CENTENARIO;INGENIERÍA INDUSTRIAL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;188
2017 - 2017;2017 - 2017;GUAYAQUIL;CENTENARIO;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;142
2017 - 2017;2017 - 2017;GUAYAQUIL;CENTENARIO;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;85
2017 - 2017;2017 - 2017;MATRIZ CUENCA;EL VECINO;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;79
2017 - 2017;2017 - 2017;MATRIZ CUENCA;EL VECINO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;24
2017 - 2017;2017 - 2017;MATRIZ CUENCA;EL VECINO;COMUNICACIÓN;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;4
2017 - 2017;2017 - 2017;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;49
2017 - 2017;2017 - 2017;MATRIZ CUENCA;EL VECINO;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;10
2017 - 2017;2017 - 2017;MATRIZ CUENCA;EL VECINO;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;4
2017 - 2017;2017 - 2017;MATRIZ CUENCA;EL VECINO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;22
2017 - 2017;2017 - 2017;MATRIZ CUENCA;EL VECINO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;24
2017 - 2017;2017 - 2017;MATRIZ CUENCA;EL VECINO;INGENIERÍA AMBIENTAL;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;45
2017 - 2017;2017 - 2017;MATRIZ CUENCA;EL VECINO;INGENIERÍA AUTOMOTRIZ;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;47
2017 - 2017;2017 - 2017;MATRIZ CUENCA;EL VECINO;MEDICINA VETERINARIA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;34
2017 - 2017;2017 - 2017;MATRIZ CUENCA;EL VECINO;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;14
2017 - 2017;2017 - 2017;QUITO;EL GIRÓN;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;141
2017 - 2017;2017 - 2017;QUITO;EL GIRÓN;BIOTECNOLOGÍA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;112
2017 - 2017;2017 - 2017;QUITO;EL GIRÓN;COMUNICACIÓN;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;115
2017 - 2017;2017 - 2017;QUITO;EL GIRÓN;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;124
2017 - 2017;2017 - 2017;QUITO;EL GIRÓN;EDUCACIÓN;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;2
2017 - 2017;2017 - 2017;QUITO;EL GIRÓN;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;28
2017 - 2017;2017 - 2017;QUITO;EL GIRÓN;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;43
2017 - 2017;2017 - 2017;QUITO;SUR;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;76
2017 - 2017;2017 - 2017;QUITO;SUR;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;63
2017 - 2017;2017 - 2017;QUITO;SUR;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;68
2017 - 2017;2017 - 2017;QUITO;SUR;INGENIERÍA AMBIENTAL;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;88
2017 - 2017;2017 - 2017;QUITO;SUR;INGENIERÍA CIVIL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;142
2017 - 2017;2017 - 2017;QUITO;SUR;MECÁNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;71
2017 - 2017;2017 - 2017;QUITO;SUR;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;57
2017 - 2017;2017 - 2017;QUITO;SUR;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;46
2017 - 2017;2017 - 2018;GUAYAQUIL;CENTENARIO;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;212
2017 - 2017;2017 - 2018;GUAYAQUIL;CENTENARIO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;136
2017 - 2017;2017 - 2018;GUAYAQUIL;CENTENARIO;COMUNICACIÓN;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;68
2017 - 2017;2017 - 2018;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;145
2017 - 2017;2017 - 2018;GUAYAQUIL;CENTENARIO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;76
2017 - 2017;2017 - 2018;GUAYAQUIL;CENTENARIO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;53
2017 - 2017;2017 - 2018;GUAYAQUIL;CENTENARIO;INGENIERÍA AUTOMOTRIZ;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;90
2017 - 2017;2017 - 2018;GUAYAQUIL;CENTENARIO;INGENIERÍA INDUSTRIAL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;146
2017 - 2017;2017 - 2018;GUAYAQUIL;CENTENARIO;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;117
2017 - 2017;2017 - 2018;GUAYAQUIL;CENTENARIO;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;54
2017 - 2017;2017 - 2018;MATRIZ CUENCA;EL VECINO;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;61
2017 - 2017;2017 - 2018;MATRIZ CUENCA;EL VECINO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;18
2017 - 2017;2017 - 2018;MATRIZ CUENCA;EL VECINO;COMUNICACIÓN;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;2
2017 - 2017;2017 - 2018;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;35
2017 - 2017;2017 - 2018;MATRIZ CUENCA;EL VECINO;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;3
2017 - 2017;2017 - 2018;MATRIZ CUENCA;EL VECINO;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;1
2017 - 2017;2017 - 2018;MATRIZ CUENCA;EL VECINO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;17
2017 - 2017;2017 - 2018;MATRIZ CUENCA;EL VECINO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;16
2017 - 2017;2017 - 2018;MATRIZ CUENCA;EL VECINO;INGENIERÍA AMBIENTAL;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;26
2017 - 2017;2017 - 2018;MATRIZ CUENCA;EL VECINO;INGENIERÍA AUTOMOTRIZ;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;33
2017 - 2017;2017 - 2018;MATRIZ CUENCA;EL VECINO;MEDICINA VETERINARIA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;24
2017 - 2017;2017 - 2018;MATRIZ CUENCA;EL VECINO;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;12
2017 - 2017;2017 - 2018;QUITO;EL GIRÓN;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;119
2017 - 2017;2017 - 2018;QUITO;EL GIRÓN;BIOTECNOLOGÍA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;86
2017 - 2017;2017 - 2018;QUITO;EL GIRÓN;COMUNICACIÓN;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;88
2017 - 2017;2017 - 2018;QUITO;EL GIRÓN;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;109
2017 - 2017;2017 - 2018;QUITO;EL GIRÓN;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;22
2017 - 2017;2017 - 2018;QUITO;EL GIRÓN;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;36
2017 - 2017;2017 - 2018;QUITO;SUR;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;55
2017 - 2017;2017 - 2018;QUITO;SUR;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;53
2017 - 2017;2017 - 2018;QUITO;SUR;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;58
2017 - 2017;2017 - 2018;QUITO;SUR;INGENIERÍA AMBIENTAL;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;55
2017 - 2017;2017 - 2018;QUITO;SUR;INGENIERÍA CIVIL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;104
2017 - 2017;2017 - 2018;QUITO;SUR;MECÁNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;59
2017 - 2017;2017 - 2018;QUITO;SUR;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;52
2017 - 2017;2017 - 2018;QUITO;SUR;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;38
2017 - 2017;2018 - 2018;GUAYAQUIL;CENTENARIO;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;177
2017 - 2017;2018 - 2018;GUAYAQUIL;CENTENARIO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;114
2017 - 2017;2018 - 2018;GUAYAQUIL;CENTENARIO;COMUNICACIÓN;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;60
2017 - 2017;2018 - 2018;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;135
2017 - 2017;2018 - 2018;GUAYAQUIL;CENTENARIO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;73
2017 - 2017;2018 - 2018;GUAYAQUIL;CENTENARIO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;49
2017 - 2017;2018 - 2018;GUAYAQUIL;CENTENARIO;INGENIERÍA AUTOMOTRIZ;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;79
2017 - 2017;2018 - 2018;GUAYAQUIL;CENTENARIO;INGENIERÍA INDUSTRIAL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;128
2017 - 2017;2018 - 2018;GUAYAQUIL;CENTENARIO;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;112
2017 - 2017;2018 - 2018;GUAYAQUIL;CENTENARIO;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;46
2017 - 2017;2018 - 2018;MATRIZ CUENCA;EL VECINO;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;54
2017 - 2017;2018 - 2018;MATRIZ CUENCA;EL VECINO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;16
2017 - 2017;2018 - 2018;MATRIZ CUENCA;EL VECINO;COMUNICACIÓN;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;1
2017 - 2017;2018 - 2018;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;26
2017 - 2017;2018 - 2018;MATRIZ CUENCA;EL VECINO;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;3
2017 - 2017;2018 - 2018;MATRIZ CUENCA;EL VECINO;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;1
2017 - 2017;2018 - 2018;MATRIZ CUENCA;EL VECINO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;14
2017 - 2017;2018 - 2018;MATRIZ CUENCA;EL VECINO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;12
2017 - 2017;2018 - 2018;MATRIZ CUENCA;EL VECINO;INGENIERÍA AMBIENTAL;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;24
2017 - 2017;2018 - 2018;MATRIZ CUENCA;EL VECINO;INGENIERÍA AUTOMOTRIZ;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;29
2017 - 2017;2018 - 2018;MATRIZ CUENCA;EL VECINO;MEDICINA VETERINARIA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;17
2017 - 2017;2018 - 2018;MATRIZ CUENCA;EL VECINO;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;10
2017 - 2017;2018 - 2018;QUITO;EL GIRÓN;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;107
2017 - 2017;2018 - 2018;QUITO;EL GIRÓN;BIOTECNOLOGÍA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;79
2017 - 2017;2018 - 2018;QUITO;EL GIRÓN;COMUNICACIÓN;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;80
2017 - 2017;2018 - 2018;QUITO;EL GIRÓN;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;95
2017 - 2017;2018 - 2018;QUITO;EL GIRÓN;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;19
2017 - 2017;2018 - 2018;QUITO;EL GIRÓN;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;30
2017 - 2017;2018 - 2018;QUITO;SUR;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;50
2017 - 2017;2018 - 2018;QUITO;SUR;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;52
2017 - 2017;2018 - 2018;QUITO;SUR;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;55
2017 - 2017;2018 - 2018;QUITO;SUR;INGENIERÍA AMBIENTAL;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;49
2017 - 2017;2018 - 2018;QUITO;SUR;INGENIERÍA CIVIL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;88
2017 - 2017;2018 - 2018;QUITO;SUR;MECÁNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;54
2017 - 2017;2018 - 2018;QUITO;SUR;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;46
2017 - 2017;2018 - 2018;QUITO;SUR;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;37
2017 - 2017;2018 - 2019;GUAYAQUIL;CENTENARIO;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;160
2017 - 2017;2018 - 2019;GUAYAQUIL;CENTENARIO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;93
2017 - 2017;2018 - 2019;GUAYAQUIL;CENTENARIO;COMUNICACIÓN;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;58
2017 - 2017;2018 - 2019;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;123
2017 - 2017;2018 - 2019;GUAYAQUIL;CENTENARIO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;69
2017 - 2017;2018 - 2019;GUAYAQUIL;CENTENARIO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;45
2017 - 2017;2018 - 2019;GUAYAQUIL;CENTENARIO;INGENIERÍA AUTOMOTRIZ;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;72
2017 - 2017;2018 - 2019;GUAYAQUIL;CENTENARIO;INGENIERÍA INDUSTRIAL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;123
2017 - 2017;2018 - 2019;GUAYAQUIL;CENTENARIO;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;102
2017 - 2017;2018 - 2019;GUAYAQUIL;CENTENARIO;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;41
2017 - 2017;2018 - 2019;MATRIZ CUENCA;EL VECINO;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;48
2017 - 2017;2018 - 2019;MATRIZ CUENCA;EL VECINO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;14
2017 - 2017;2018 - 2019;MATRIZ CUENCA;EL VECINO;COMUNICACIÓN;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;1
2017 - 2017;2018 - 2019;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;25
2017 - 2017;2018 - 2019;MATRIZ CUENCA;EL VECINO;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;3
2017 - 2017;2018 - 2019;MATRIZ CUENCA;EL VECINO;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;1
2017 - 2017;2018 - 2019;MATRIZ CUENCA;EL VECINO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;13
2017 - 2017;2018 - 2019;MATRIZ CUENCA;EL VECINO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;10
2017 - 2017;2018 - 2019;MATRIZ CUENCA;EL VECINO;INGENIERÍA AMBIENTAL;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;23
2017 - 2017;2018 - 2019;MATRIZ CUENCA;EL VECINO;INGENIERÍA AUTOMOTRIZ;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;27
2017 - 2017;2018 - 2019;MATRIZ CUENCA;EL VECINO;MEDICINA VETERINARIA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;16
2017 - 2017;2018 - 2019;MATRIZ CUENCA;EL VECINO;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;9
2017 - 2017;2018 - 2019;QUITO;EL GIRÓN;ADMINISTRACIÓN DE EMPRESAS;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;100
2017 - 2017;2018 - 2019;QUITO;EL GIRÓN;BIOTECNOLOGÍA;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;71
2017 - 2017;2018 - 2019;QUITO;EL GIRÓN;COMUNICACIÓN;CIENCIAS SOCIALES Y DEL COMPORTAMIENTO HUMANO;PRESENCIAL;NUEVA O REDISEÑO;68
2017 - 2017;2018 - 2019;QUITO;EL GIRÓN;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;92
2017 - 2017;2018 - 2019;QUITO;EL GIRÓN;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;18
2017 - 2017;2018 - 2019;QUITO;EL GIRÓN;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;25
2017 - 2017;2018 - 2019;QUITO;SUR;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;49
2017 - 2017;2018 - 2019;QUITO;SUR;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;48
2017 - 2017;2018 - 2019;QUITO;SUR;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;51
2017 - 2017;2018 - 2019;QUITO;SUR;INGENIERÍA AMBIENTAL;CIENCIAS DE LA VIDA;PRESENCIAL;NUEVA O REDISEÑO;46
2017 - 2017;2018 - 2019;QUITO;SUR;INGENIERÍA CIVIL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;89
2017 - 2017;2018 - 2019;QUITO;SUR;MECÁNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;50
